UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0 Jan06 ?        00:20:24 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root          2      0  0 Jan06 ?        00:00:05 [kthreadd]
root          4      2  0 Jan06 ?        00:00:00 [kworker/0:0H]
root          6      2  0 Jan06 ?        00:00:02 [ksoftirqd/0]
root          7      2  0 Jan06 ?        00:00:01 [migration/0]
root          8      2  0 Jan06 ?        00:00:00 [rcu_bh]
root          9      2  0 Jan06 ?        00:26:34 [rcu_sched]
root         10      2  0 Jan06 ?        00:00:00 [lru-add-drain]
root         11      2  0 Jan06 ?        00:00:02 [watchdog/0]
root         12      2  0 Jan06 ?        00:00:02 [watchdog/1]
root         13      2  0 Jan06 ?        00:00:01 [migration/1]
root         14      2  0 Jan06 ?        00:00:04 [ksoftirqd/1]
root         16      2  0 Jan06 ?        00:00:00 [kworker/1:0H]
root         18      2  0 Jan06 ?        00:00:02 [watchdog/2]
root         19      2  0 Jan06 ?        00:00:01 [migration/2]
root         20      2  0 Jan06 ?        00:00:00 [ksoftirqd/2]
root         22      2  0 Jan06 ?        00:00:00 [kworker/2:0H]
root         24      2  0 Jan06 ?        00:00:02 [watchdog/3]
root         25      2  0 Jan06 ?        00:00:01 [migration/3]
root         26      2  0 Jan06 ?        00:00:01 [ksoftirqd/3]
root         28      2  0 Jan06 ?        00:00:00 [kworker/3:0H]
root         29      2  0 Jan06 ?        00:00:02 [watchdog/4]
root         30      2  0 Jan06 ?        00:00:01 [migration/4]
root         31      2  0 Jan06 ?        00:00:01 [ksoftirqd/4]
root         33      2  0 Jan06 ?        00:00:00 [kworker/4:0H]
root         34      2  0 Jan06 ?        00:00:02 [watchdog/5]
root         35      2  0 Jan06 ?        00:00:01 [migration/5]
root         36      2  0 Jan06 ?        00:00:01 [ksoftirqd/5]
root         38      2  0 Jan06 ?        00:00:00 [kworker/5:0H]
root         39      2  0 Jan06 ?        00:00:02 [watchdog/6]
root         40      2  0 Jan06 ?        00:00:01 [migration/6]
